election_id,data_source,num_voters,num_candidates,committee_size,hamming_pav_phrag,hamming_pav_mes,hamming_phrag_mes,pav_approval_score,phrag_approval_score,mes_approval_score,runtime_pav,runtime_phrag,runtime_mes,error,pav_winners_str,phrag_winners_str,mes_winners_str
syn_00110,resampling_n100_m20_rs0.20_phi0.50_rep0,100,20,4,0,0,0,151,151,151,0.0085,0.0013,0.0023,,"[2, 4, 11, 14]","[2, 4, 11, 14]","[2, 4, 11, 14]"
syn_00111,resampling_n100_m20_rs0.20_phi0.50_rep1,100,20,4,0,0,0,230,230,230,0.0091,0.0014,0.0025,,"[2, 9, 12, 17]","[2, 9, 12, 17]","[2, 9, 12, 17]"
syn_00112,resampling_n100_m20_rs0.20_phi0.50_rep2,100,20,4,0,0,0,197,197,197,0.0088,0.0015,0.0023,,"[3, 4, 5, 14]","[3, 4, 5, 14]","[3, 4, 5, 14]"
syn_00113,resampling_n100_m20_rs0.20_phi0.50_rep3,100,20,4,0,0,0,206,206,206,0.0093,0.0014,0.0025,,"[8, 12, 13, 18]","[8, 12, 13, 18]","[8, 12, 13, 18]"
syn_00114,resampling_n100_m20_rs0.20_phi0.50_rep4,100,20,4,0,0,0,239,239,239,0.0124,0.0016,0.0032,,"[0, 1, 3, 9]","[0, 1, 3, 9]","[0, 1, 3, 9]"
syn_00115,resampling_n100_m20_rs0.40_phi0.50_rep0,100,20,4,2,2,2,296,296,293,0.0122,0.0015,0.0033,,"[0, 3, 10, 18]","[2, 3, 10, 18]","[3, 6, 10, 18]"
syn_00116,resampling_n100_m20_rs0.40_phi0.50_rep1,100,20,4,0,2,2,300,300,296,0.0113,0.0015,0.0031,,"[6, 11, 13, 16]","[6, 11, 13, 16]","[6, 8, 11, 13]"
syn_00117,resampling_n100_m20_rs0.40_phi0.50_rep2,100,20,4,0,4,4,301,301,297,0.0257,0.0015,0.0034,,"[2, 5, 11, 19]","[2, 5, 11, 19]","[3, 5, 10, 11]"
syn_00118,resampling_n100_m20_rs0.40_phi0.50_rep3,100,20,4,0,0,0,293,293,293,0.013,0.0015,0.0033,,"[6, 7, 17, 19]","[6, 7, 17, 19]","[6, 7, 17, 19]"
syn_00119,resampling_n100_m20_rs0.40_phi0.50_rep4,100,20,4,0,0,0,294,294,294,0.0124,0.0014,0.003,,"[3, 7, 14, 17]","[3, 7, 14, 17]","[3, 7, 14, 17]"
